Pending jobs: 52  Workers: 4
  beta=0.05  method=ConstReplay_0.1  seed=1
  beta=0.05  method=ConstReplay_0.1  seed=2
  beta=0.05  method=ConstReplay_0.1  seed=3
  beta=0.05  method=ConstReplay_0.1  seed=4
  beta=0.05  method=ConstReplay_0.3  seed=0
  beta=0.05  method=ConstReplay_0.3  seed=1
  beta=0.05  method=ConstReplay_0.3  seed=2
  beta=0.05  method=ConstReplay_0.3  seed=3
  beta=0.05  method=ConstReplay_0.3  seed=4
  beta=0.05  method=DIFE_only  seed=0
  beta=0.05  method=DIFE_only  seed=1
  beta=0.05  method=DIFE_only  seed=2
  beta=0.05  method=DIFE_only  seed=3
  beta=0.05  method=DIFE_only  seed=4
  beta=0.05  method=MV_only  seed=0
  beta=0.05  method=MV_only  seed=1
  beta=0.05  method=MV_only  seed=2
  beta=0.05  method=MV_only  seed=3
  beta=0.05  method=MV_only  seed=4
  beta=0.05  method=DIFE_MV  seed=0
  beta=0.05  method=DIFE_MV  seed=1
  beta=0.05  method=DIFE_MV  seed=2
  beta=0.05  method=DIFE_MV  seed=3
  beta=0.05  method=DIFE_MV  seed=4
  beta=0.1  method=FT  seed=2
  beta=0.1  method=FT  seed=3
  beta=0.1  method=FT  seed=4
  beta=0.1  method=ConstReplay_0.1  seed=0
  beta=0.1  method=ConstReplay_0.1  seed=1
  beta=0.1  method=ConstReplay_0.1  seed=2
  beta=0.1  method=ConstReplay_0.1  seed=3
  beta=0.1  method=ConstReplay_0.1  seed=4
  beta=0.1  method=ConstReplay_0.3  seed=0
  beta=0.1  method=ConstReplay_0.3  seed=1
  beta=0.1  method=ConstReplay_0.3  seed=2
  beta=0.1  method=ConstReplay_0.3  seed=3
  beta=0.1  method=ConstReplay_0.3  seed=4
  beta=0.1  method=DIFE_only  seed=0
  beta=0.1  method=DIFE_only  seed=1
  beta=0.1  method=DIFE_only  seed=2
  beta=0.1  method=DIFE_only  seed=3
  beta=0.1  method=DIFE_only  seed=4
  beta=0.1  method=MV_only  seed=0
  beta=0.1  method=MV_only  seed=1
  beta=0.1  method=MV_only  seed=2
  beta=0.1  method=MV_only  seed=3
  beta=0.1  method=MV_only  seed=4
  beta=0.1  method=DIFE_MV  seed=0
  beta=0.1  method=DIFE_MV  seed=1
  beta=0.1  method=DIFE_MV  seed=2
  beta=0.1  method=DIFE_MV  seed=3
  beta=0.1  method=DIFE_MV  seed=4

Pending jobs: 52  Workers: 4
  beta=0.05  method=ConstReplay_0.1  seed=1
  beta=0.05  method=ConstReplay_0.1  seed=2
  beta=0.05  method=ConstReplay_0.1  seed=3
  beta=0.05  method=ConstReplay_0.1  seed=4
  beta=0.05  method=ConstReplay_0.3  seed=0
  beta=0.05  method=ConstReplay_0.3  seed=1
  beta=0.05  method=ConstReplay_0.3  seed=2
  beta=0.05  method=ConstReplay_0.3  seed=3
  beta=0.05  method=ConstReplay_0.3  seed=4
  beta=0.05  method=DIFE_only  seed=0
  beta=0.05  method=DIFE_only  seed=1
  beta=0.05  method=DIFE_only  seed=2
  beta=0.05  method=DIFE_only  seed=3
  beta=0.05  method=DIFE_only  seed=4
  beta=0.05  method=MV_only  seed=0
  beta=0.05  method=MV_only  seed=1
  beta=0.05  method=MV_only  seed=2
  beta=0.05  method=MV_only  seed=3
  beta=0.05  method=MV_only  seed=4
  beta=0.05  method=DIFE_MV  seed=0
  beta=0.05  method=DIFE_MV  seed=1
  beta=0.05  method=DIFE_MV  seed=2
  beta=0.05  method=DIFE_MV  seed=3
  beta=0.05  method=DIFE_MV  seed=4
  beta=0.1  method=FT  seed=2
  beta=0.1  method=FT  seed=3
  beta=0.1  method=FT  seed=4
  beta=0.1  method=ConstReplay_0.1  seed=0
  beta=0.1  method=ConstReplay_0.1  seed=1
  beta=0.1  method=ConstReplay_0.1  seed=2
  beta=0.1  method=ConstReplay_0.1  seed=3
  beta=0.1  method=ConstReplay_0.1  seed=4
  beta=0.1  method=ConstReplay_0.3  seed=0
  beta=0.1  method=ConstReplay_0.3  seed=1
  beta=0.1  method=ConstReplay_0.3  seed=2
  beta=0.1  method=ConstReplay_0.3  seed=3
  beta=0.1  method=ConstReplay_0.3  seed=4
  beta=0.1  method=DIFE_only  seed=0
  beta=0.1  method=DIFE_only  seed=1
  beta=0.1  method=DIFE_only  seed=2
  beta=0.1  method=DIFE_only  seed=3
  beta=0.1  method=DIFE_only  seed=4
  beta=0.1  method=MV_only  seed=0
  beta=0.1  method=MV_only  seed=1
  beta=0.1  method=MV_only  seed=2
  beta=0.1  method=MV_only  seed=3
  beta=0.1  method=MV_only  seed=4
  beta=0.1  method=DIFE_MV  seed=0
  beta=0.1  method=DIFE_MV  seed=1
  beta=0.1  method=DIFE_MV  seed=2
  beta=0.1  method=DIFE_MV  seed=3
  beta=0.1  method=DIFE_MV  seed=4

