seed,method,task_id,epoch_in_task,global_epoch,alpha_fit,beta_fit,dife_envelope_value,mv_proxy_value,mv_operator_value,final_replay_fraction_before_cap,final_replay_fraction_after_cap,replay_samples_this_epoch,cumulative_replay_samples,has_mv_fit,r_max,gamma
2,DIFE_MV,0,0,0,0.900000,1.00000000e-02,1.000000,nan,0.811750,0.300000,0.300000,0,0,0,0.3,1.0
2,DIFE_MV,0,1,1,0.900000,1.00000000e-02,1.000000,nan,0.810950,0.300000,0.300000,0,0,0,0.3,1.0
2,DIFE_MV,0,2,2,0.900000,1.00000000e-02,1.000000,nan,0.810145,0.300000,0.300000,0,0,0,0.3,1.0
2,DIFE_MV,1,0,3,0.900000,1.00000000e-02,0.899000,0.105000,0.809335,0.300000,0.300000,3002,3002,0,0.3,1.0
2,DIFE_MV,1,1,4,0.900000,1.00000000e-02,0.899000,0.090000,0.808520,0.300000,0.300000,3002,6004,0,0.3,1.0
2,DIFE_MV,1,2,5,0.900000,1.00000000e-02,0.899000,0.050000,0.807701,0.300000,0.300000,3002,9006,0,0.3,1.0
2,DIFE_MV,2,0,6,0.900000,1.00000000e-02,0.806200,0.100000,0.806877,0.300000,0.300000,3002,12008,0,0.3,1.0
2,DIFE_MV,2,1,7,0.900000,1.00000000e-02,0.806200,0.165000,0.806049,0.300000,0.300000,3002,15010,0,0.3,1.0
2,DIFE_MV,2,2,8,0.900000,1.00000000e-02,0.806200,0.065000,0.805216,0.300000,0.300000,3002,18012,0,0.3,1.0
2,DIFE_MV,3,0,9,0.900000,1.00000000e-02,0.720870,0.185000,0.448894,0.323594,0.300000,3002,21014,1,0.3,1.0
2,DIFE_MV,3,1,10,0.900000,1.00000000e-02,0.720870,0.155000,0.663067,0.477985,0.300000,3002,24016,1,0.3,1.0
2,DIFE_MV,3,2,11,0.900000,1.00000000e-02,0.720870,0.170000,0.922003,0.664645,0.300000,3002,27018,1,0.3,1.0
2,DIFE_MV,4,0,12,0.949678,1.00000000e-03,0.812657,0.175000,0.306201,0.248836,0.248836,2449,29467,1,0.3,1.0
2,DIFE_MV,4,1,13,0.949678,1.00000000e-03,0.812657,0.140000,0.366341,0.297709,0.297709,3002,32469,1,0.3,1.0
2,DIFE_MV,4,2,14,0.949678,1.00000000e-03,0.812657,0.170000,0.431016,0.350268,0.300000,3002,35471,1,0.3,1.0
