seed,method,task_id,epoch_in_task,global_epoch,alpha_fit,beta_fit,dife_envelope_value,mv_proxy_value,mv_operator_value,final_replay_fraction_before_cap,final_replay_fraction_after_cap,replay_samples_this_epoch,cumulative_replay_samples,has_mv_fit,r_max,gamma
2,DIFE_only,0,0,0,0.900000,1.00000000e-02,1.000000,nan,nan,0.300000,0.300000,0,0,0,0.3,1.0
2,DIFE_only,0,1,1,0.900000,1.00000000e-02,1.000000,nan,nan,0.300000,0.300000,0,0,0,0.3,1.0
2,DIFE_only,0,2,2,0.900000,1.00000000e-02,1.000000,nan,nan,0.300000,0.300000,0,0,0,0.3,1.0
2,DIFE_only,1,0,3,0.900000,1.00000000e-02,0.899000,nan,nan,0.300000,0.300000,3002,3002,0,0.3,1.0
2,DIFE_only,1,1,4,0.900000,1.00000000e-02,0.899000,nan,nan,0.300000,0.300000,3002,6004,0,0.3,1.0
2,DIFE_only,1,2,5,0.900000,1.00000000e-02,0.899000,nan,nan,0.300000,0.300000,3002,9006,0,0.3,1.0
2,DIFE_only,2,0,6,0.900000,1.00000000e-02,0.806200,nan,nan,0.300000,0.300000,3002,12008,0,0.3,1.0
2,DIFE_only,2,1,7,0.900000,1.00000000e-02,0.806200,nan,nan,0.300000,0.300000,3002,15010,0,0.3,1.0
2,DIFE_only,2,2,8,0.900000,1.00000000e-02,0.806200,nan,nan,0.300000,0.300000,3002,18012,0,0.3,1.0
2,DIFE_only,3,0,9,0.900000,1.00000000e-02,0.720870,nan,nan,0.300000,0.300000,3002,21014,0,0.3,1.0
2,DIFE_only,3,1,10,0.900000,1.00000000e-02,0.720870,nan,nan,0.300000,0.300000,3002,24016,0,0.3,1.0
2,DIFE_only,3,2,11,0.900000,1.00000000e-02,0.720870,nan,nan,0.300000,0.300000,3002,27018,0,0.3,1.0
2,DIFE_only,4,0,12,0.955478,1.00000000e-03,0.832789,nan,nan,0.300000,0.300000,3002,30020,0,0.3,1.0
2,DIFE_only,4,1,13,0.955478,1.00000000e-03,0.832789,nan,nan,0.300000,0.300000,3002,33022,0,0.3,1.0
2,DIFE_only,4,2,14,0.955478,1.00000000e-03,0.832789,nan,nan,0.300000,0.300000,3002,36024,0,0.3,1.0
