seed,method,task_id,epoch_in_task,global_epoch,alpha_fit,beta_fit,dife_envelope_value,mv_proxy_value,mv_operator_value,final_replay_fraction_before_cap,final_replay_fraction_after_cap,replay_samples_this_epoch,cumulative_replay_samples,has_mv_fit,r_max,gamma
1,ConstReplay_0.1,0,0,0,nan,nan,nan,nan,nan,0.100000,0.100000,0,0,0,0.3,1.0
1,ConstReplay_0.1,0,1,1,nan,nan,nan,nan,nan,0.100000,0.100000,0,0,0,0.3,1.0
1,ConstReplay_0.1,0,2,2,nan,nan,nan,nan,nan,0.100000,0.100000,0,0,0,0.3,1.0
1,ConstReplay_0.1,1,0,3,nan,nan,nan,nan,nan,0.100000,0.100000,948,948,0,0.3,1.0
1,ConstReplay_0.1,1,1,4,nan,nan,nan,nan,nan,0.100000,0.100000,948,1896,0,0.3,1.0
1,ConstReplay_0.1,1,2,5,nan,nan,nan,nan,nan,0.100000,0.100000,948,2844,0,0.3,1.0
1,ConstReplay_0.1,2,0,6,nan,nan,nan,nan,nan,0.100000,0.100000,948,3792,0,0.3,1.0
1,ConstReplay_0.1,2,1,7,nan,nan,nan,nan,nan,0.100000,0.100000,948,4740,0,0.3,1.0
1,ConstReplay_0.1,2,2,8,nan,nan,nan,nan,nan,0.100000,0.100000,948,5688,0,0.3,1.0
1,ConstReplay_0.1,3,0,9,nan,nan,nan,nan,nan,0.100000,0.100000,948,6636,0,0.3,1.0
1,ConstReplay_0.1,3,1,10,nan,nan,nan,nan,nan,0.100000,0.100000,948,7584,0,0.3,1.0
1,ConstReplay_0.1,3,2,11,nan,nan,nan,nan,nan,0.100000,0.100000,948,8532,0,0.3,1.0
1,ConstReplay_0.1,4,0,12,nan,nan,nan,nan,nan,0.100000,0.100000,948,9480,0,0.3,1.0
1,ConstReplay_0.1,4,1,13,nan,nan,nan,nan,nan,0.100000,0.100000,948,10428,0,0.3,1.0
1,ConstReplay_0.1,4,2,14,nan,nan,nan,nan,nan,0.100000,0.100000,948,11376,0,0.3,1.0
