seed,method,task_id,epoch_in_task,global_epoch,alpha_fit,beta_fit,dife_envelope_value,mv_proxy_value,mv_operator_value,final_replay_fraction_before_cap,final_replay_fraction_after_cap,replay_samples_this_epoch,cumulative_replay_samples,has_mv_fit,r_max,gamma
0,DIFE_MV,0,0,0,0.900000,1.00000000e-02,1.000000,nan,0.811750,0.300000,0.300000,0,0,0,0.3,1.0
0,DIFE_MV,0,1,1,0.900000,1.00000000e-02,1.000000,nan,0.810950,0.300000,0.300000,0,0,0,0.3,1.0
0,DIFE_MV,0,2,2,0.900000,1.00000000e-02,1.000000,nan,0.810145,0.300000,0.300000,0,0,0,0.3,1.0
0,DIFE_MV,1,0,3,0.900000,1.00000000e-02,0.899000,0.125000,0.809335,0.300000,0.300000,3002,3002,0,0.3,1.0
0,DIFE_MV,1,1,4,0.900000,1.00000000e-02,0.899000,0.055000,0.808520,0.300000,0.300000,3002,6004,0,0.3,1.0
0,DIFE_MV,1,2,5,0.900000,1.00000000e-02,0.899000,0.125000,0.807701,0.300000,0.300000,3002,9006,0,0.3,1.0
0,DIFE_MV,2,0,6,0.900000,1.00000000e-02,0.806200,0.140000,0.806877,0.300000,0.300000,3002,12008,0,0.3,1.0
0,DIFE_MV,2,1,7,0.900000,1.00000000e-02,0.806200,0.125000,0.806049,0.300000,0.300000,3002,15010,0,0.3,1.0
0,DIFE_MV,2,2,8,0.900000,1.00000000e-02,0.806200,0.095000,0.805216,0.300000,0.300000,3002,18012,0,0.3,1.0
0,DIFE_MV,3,0,9,0.969374,5.00000000e-02,0.897545,0.350000,0.175301,0.157340,0.157340,1580,19592,1,0.3,1.0
0,DIFE_MV,3,1,10,0.969374,5.00000000e-02,0.897545,0.225000,0.205204,0.184180,0.184180,1817,21409,1,0.3,1.0
0,DIFE_MV,3,2,11,0.969374,5.00000000e-02,0.897545,0.265000,0.236924,0.212650,0.212650,2133,23542,1,0.3,1.0
0,DIFE_MV,4,0,12,0.950859,5.00000000e-02,0.780946,0.140000,0.586693,0.458175,0.300000,3002,26544,1,0.3,1.0
0,DIFE_MV,4,1,13,0.950859,5.00000000e-02,0.780946,0.115000,0.720654,0.562792,0.300000,3002,29546,1,0.3,1.0
0,DIFE_MV,4,2,14,0.950859,5.00000000e-02,0.780946,0.160000,0.865284,0.675740,0.300000,3002,32548,1,0.3,1.0
