seed,method,task_id,epoch_in_task,global_epoch,alpha_fit,beta_fit,dife_envelope_value,mv_proxy_value,mv_operator_value,final_replay_fraction_before_cap,final_replay_fraction_after_cap,replay_samples_this_epoch,cumulative_replay_samples,has_mv_fit,r_max,gamma
1,MV_only,0,0,0,nan,nan,nan,nan,0.811750,0.300000,0.300000,0,0,0,0.3,1.0
1,MV_only,0,1,1,nan,nan,nan,nan,0.810950,0.300000,0.300000,0,0,0,0.3,1.0
1,MV_only,0,2,2,nan,nan,nan,nan,0.810145,0.300000,0.300000,0,0,0,0.3,1.0
1,MV_only,1,0,3,nan,nan,nan,0.085000,0.809335,0.300000,0.300000,3002,3002,0,0.3,1.0
1,MV_only,1,1,4,nan,nan,nan,0.075000,0.808520,0.300000,0.300000,3002,6004,0,0.3,1.0
1,MV_only,1,2,5,nan,nan,nan,0.060000,0.807701,0.300000,0.300000,3002,9006,0,0.3,1.0
1,MV_only,2,0,6,nan,nan,nan,0.140000,0.806877,0.300000,0.300000,3002,12008,0,0.3,1.0
1,MV_only,2,1,7,nan,nan,nan,0.105000,0.806049,0.300000,0.300000,3002,15010,0,0.3,1.0
1,MV_only,2,2,8,nan,nan,nan,0.160000,0.805216,0.300000,0.300000,3002,18012,0,0.3,1.0
1,MV_only,3,0,9,nan,nan,nan,0.275000,0.156224,0.156224,0.156224,1501,19513,1,0.3,1.0
1,MV_only,3,1,10,nan,nan,nan,0.240000,0.183416,0.183416,0.183416,1817,21330,1,0.3,1.0
1,MV_only,3,2,11,nan,nan,nan,0.280000,0.211874,0.211874,0.211874,2133,23463,1,0.3,1.0
1,MV_only,4,0,12,nan,nan,nan,0.190000,0.586952,0.586952,0.300000,3002,26465,1,0.3,1.0
1,MV_only,4,1,13,nan,nan,nan,0.170000,0.731031,0.731031,0.300000,3002,29467,1,0.3,1.0
1,MV_only,4,2,14,nan,nan,nan,0.150000,0.889673,0.889673,0.300000,3002,32469,1,0.3,1.0
